pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
150,v,11,1,45,1,,,,,120.2232564999722,,120.21249629999511,120.2232564999722,121.2239817000227,121.2239817000227,121.2239817000227,121.2239817000227,121.2239817000227,122.23973389994353,122.23973389994353,122.89661659998819,v,1,0.6522604000056162,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
50,c,11,2,46,2,,,,,122.90710059995763,,122.89830989995971,122.90710059995763,123.90708939998876,123.90708939998876,123.90708939998876,123.90708939998876,123.90708939998876,124.90701520000584,124.90701520000584,125.54421239998192,c,1,0.6233178999973461,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-150,z,11,3,47,3,,,,,125.5567277999362,,125.5455343000358,125.5567277999362,126.55732180003542,126.55732180003542,126.55732180003542,126.55732180003542,126.55732180003542,127.55695600004401,127.55695600004401,128.09457600000314,z,1,0.5328524999786168,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-50,x,12,0,48,0,,,,,128.10692920000292,,128.09562269994058,128.10692920000292,129.10699440003373,129.10699440003373,129.10699440003373,129.10699440003373,129.10699440003373,130.10702210001182,130.10702210001182,130.42772509995848,x,1,0.31919990002643317,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
150,v,12,1,49,1,,,,,130.44039070000872,,130.42885919997934,130.44039070000872,131.44051919993944,131.44051919993944,131.44051919993944,131.44051919993944,131.44051919993944,132.45666739996523,132.45666739996523,133.01372549997177,v,1,0.5469882000470534,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
50,c,12,2,50,2,,,,,133.02362260001246,,133.01499219995458,133.02362260001246,134.02392369997688,134.02392369997688,134.02392369997688,134.02392369997688,134.02392369997688,135.02381439995952,135.02381439995952,135.36172639997676,c,1,0.33054999995511025,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-150,z,12,3,51,3,,,,,135.37378429993987,,135.36291379993781,135.37378429993987,136.37408069998492,136.37408069998492,136.37408069998492,136.37408069998492,136.37408069998492,137.3746431999607,137.3746431999607,137.69515399995726,z,1,0.3074282000306994,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-50,x,13,0,52,0,,,,,137.70742560003418,,137.69618239998817,137.70742560003418,138.70754550001584,138.70754550001584,138.70754550001584,138.70754550001584,138.70754550001584,139.7071950000245,139.7071950000245,139.99569639994297,x,1,0.27963349991478026,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
150,v,13,1,53,1,,,,,140.00750880001578,,139.996838400024,140.00750880001578,141.00719989999197,141.00719989999197,141.00719989999197,141.00719989999197,141.00719989999197,142.00741419999395,142.00741419999395,142.3291201000102,v,1,0.3039476000703871,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
50,c,13,2,54,2,,,,,142.3407373999944,,142.33105849998537,142.3407373999944,143.3410542999627,143.3410542999627,143.3410542999627,143.3410542999627,143.3410542999627,144.3408519999357,144.3408519999357,144.69611260003876,c,1,0.3501129999058321,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-150,z,13,3,55,3,,,,,144.7073609000072,,144.69782070000656,144.7073609000072,145.70730170002207,145.70730170002207,145.70730170002207,145.70730170002207,145.70730170002207,146.707388299983,146.707388299983,147.0130542999832,z,1,0.2950861999997869,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-50,x,14,0,56,0,,,,,147.0240838000318,,147.01434210001025,147.0240838000318,148.0245023999596,148.0245023999596,148.0245023999596,148.0245023999596,148.0245023999596,149.02436409995425,149.02436409995425,149.27853500004858,x,1,0.24400229996535927,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
150,v,14,1,57,1,,,,,149.29086289997213,,149.27958400000352,149.29086289997213,150.29090300004464,150.29090300004464,150.29090300004464,150.29090300004464,150.29090300004464,151.29098129994236,151.29098129994236,151.61219420004636,v,1,0.3072192999534309,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
50,c,14,2,58,2,,,,,151.6242475999752,,151.61320150003303,151.6242475999752,152.62440420000348,152.62440420000348,152.62440420000348,152.62440420000348,152.62440420000348,153.62428350001574,153.62428350001574,153.82934830000158,c,1,0.20192109991330653,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-150,z,14,3,59,3,,,,,153.84087940002792,,153.83031220000703,153.84087940002792,154.841138400021,154.841138400021,154.841138400021,154.841138400021,154.841138400021,155.84128940000664,155.84128940000664,155.98008340003435,z,1,0.13481139997020364,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-50,x,15,0,60,0,,,,,155.9911353000207,,155.98179440002423,155.9911353000207,156.99140289996285,156.99140289996285,156.99140289996285,156.99140289996285,156.99140289996285,157.9914205999812,157.9914205999812,158.0957735000411,x,1,0.10197680001147091,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
150,v,15,1,61,1,,,,,158.10798580001574,,158.09696809994057,158.10798580001574,159.1077537999954,159.1077537999954,159.1077537999954,159.1077537999954,159.1077537999954,160.12409559998196,160.12409559998196,160.39560309995431,v,1,0.2592366000171751,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
50,c,15,2,62,2,,,,,160.40794910001568,,160.3969123000279,160.40794910001568,161.40785289998166,161.40785289998166,161.40785289998166,161.40785289998166,161.40785289998166,162.4080694000004,162.4080694000004,162.67904570000246,c,1,0.26918629999272525,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-150,z,15,3,63,3,,,,,162.69128769997042,,162.6803678999422,162.69128769997042,163.69149340002332,163.69149340002332,163.69149340002332,163.69149340002332,163.69149340002332,164.69116489996668,164.69116489996668,164.79567619995214,z,1,0.09538050007540733,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
